Employee ID	Gender	Age	BusinessTravel	Department	DistanceFromHome (KM)	State	Ethnicity	Education	EducationField	JobRole	MaritalStatus	Salary	StockOptionLevel	OverTime	HireDate	Attrition	YearsAtCompany	YearsInMostRecentRole	YearsSinceLastPromotion	YearsWithCurrManager
1	Female	30	Some Travel	Sales	27	IL	White	5	Marketing	Sales Executive	Divorced	102059	1	No	"Tuesday, January 3, 2012"	No	10	4	9	7
2	Male	38	Some Travel	Sales	23	CA	White	4	Marketing	Sales Executive	Single	157718	0	Yes	"Wednesday, January 4, 2012"	No	10	6	10	0
3	Male	43	Some Travel	Human Resources	29	CA	Asian or Asian American	4	Marketing 	HR Business Partner	Married	309964	1	No	"Wednesday, January 4, 2012"	No	10	6	10	8
4	Non-Binary	39	Some Travel	Technology	12	IL	White	3	Computer Science	Engineering Manager	Married	293132	0	No	"Thursday, January 5, 2012"	No	10	10	10	0
5	Female	29	Some Travel	Human Resources	29	CA	White	2	Technical Degree	Recruiter	Single	49606	0	No	"Thursday, January 5, 2012"	Yes	6	1	1	6
6	Male	34	Some Travel	Sales	30	NY	Mixed or multiple ethnic groups	2	Marketing	Sales Executive	Divorced	133468	1	No	"Thursday, January 5, 2012"	No	10	3	7	9
7	Female	42	No Travel 	Technology	45	NY	Black or African American	3	Information Systems	Engineering Manager	Married	259284	1	No	"Monday, January 9, 2012"	No	10	2	6	6
8	Female	40	Some Travel	Sales	3	CA	Native Hawaiian 	2	Other	Sales Executive	Divorced	104426	1	No	"Wednesday, January 11, 2012"	No	10	3	4	6
9	Male	38	Some Travel	Sales	20	IL	Black or African American	4	Marketing 	Sales Executive	Married	147098	1	No	"Wednesday, January 11, 2012"	No	10	5	8	2
10	Female	31	Frequent Traveller	Technology	4	NY	Native Hawaiian 	2	Information Systems	Data Scientist	Single	69747	0	No	"Thursday, January 12, 2012"	Yes	6	5	5	1
11	Female	32	Some Travel	Technology	42	CA	White	4	Computer Science	Data Scientist	Single	102022	0	No	"Thursday, January 12, 2012"	No	10	4	5	8
12	Female	35	Some Travel	Technology	8	NY	Other 	4	Information Systems	Machine Learning Engineer	Single	272175	0	No	"Thursday, January 12, 2012"	No	10	7	8	2
13	Male	38	Some Travel	Sales	35	NY	Asian or Asian American	3	Marketing 	Manager	Single	340229	0	Yes	"Friday, January 13, 2012"	No	10	7	9	3
14	Non-Binary	37	Some Travel	Technology	3	IL	White	3	Computer Science	Software Engineer	Divorced	48395	1	No	"Sunday, January 15, 2012"	No	10	2	2	4
15	Male	33	Some Travel	Technology	4	NY	Mixed or multiple ethnic groups	4	Other	Senior Software Engineer	Single	97126	0	No	"Sunday, January 15, 2012"	No	10	8	10	2
16	Female	42	Some Travel	Technology	21	IL	Black or African American	3	Information Systems	Engineering Manager	Married	316208	1	No	"Tuesday, January 17, 2012"	No	10	8	8	7
17	Male	43	Some Travel	Sales	27	CA	Mixed or multiple ethnic groups	3	Marketing	Sales Executive	Single	128885	0	Yes	"Tuesday, January 17, 2012"	No	10	1	10	2
18	Male	43	No Travel 	Sales	34	NY	White	4	Marketing 	Sales Executive	Married	108315	2	No	"Tuesday, January 17, 2012"	No	10	9	10	10
19	Female	45	Frequent Traveller	Technology	19	NY	Asian or Asian American	1	Computer Science	Software Engineer	Married	136521	1	No	"Wednesday, January 18, 2012"	No	10	3	6	1
20	Female	38	Some Travel	Sales	1	CA	White	1	Economics	Sales Executive	Single	151141	0	No	"Thursday, January 19, 2012"	No	10	3	6	9
21	Female	39	Frequent Traveller	Sales	17	CA	White	2	Technical Degree	Sales Executive	Married	107863	1	Yes	"Thursday, January 19, 2012"	Yes	8	8	8	5
22	Male	33	Some Travel	Human Resources	3	CA	Mixed or multiple ethnic groups	1	Technical Degree	Recruiter	Divorced	53616	1	Yes	"Thursday, January 19, 2012"	No	10	2	3	7
23	Male	36	No Travel 	Technology	36	IL	White	2	Information Systems	Software Engineer	Divorced	61298	1	Yes	"Thursday, January 19, 2012"	No	10	3	9	3
24	Female	45	Some Travel	Human Resources	34	NY	Black or African American	2	Human Resources	Recruiter	Divorced	54132	1	Yes	"Friday, January 20, 2012"	No	10	10	10	10
25	Male	30	Some Travel	Technology	36	CA	American Indian or Alaska Native	4	Information Systems	Engineering Manager	Married	328415	0	No	"Friday, January 20, 2012"	No	10	1	10	1
26	Non-Binary	48	Some Travel	Technology	37	CA	White	3	Computer Science	Machine Learning Engineer	Single	145337	0	No	"Saturday, January 21, 2012"	No	10	10	10	0
27	Male	33	Some Travel	Sales	41	CA	Asian or Asian American	2	Marketing	Sales Executive	Married	71201	2	No	"Tuesday, January 24, 2012"	No	10	8	10	4
28	Female	31	No Travel 	Human Resources	25	NY	American Indian or Alaska Native	2	Marketing 	Recruiter	Divorced	55682	1	No	"Wednesday, January 25, 2012"	No	10	0	2	0
29	Male	40	Some Travel	Sales	35	NY	White	2	Marketing	Sales Representative	Married	63455	1	Yes	"Thursday, January 26, 2012"	No	10	4	8	7
30	Female	47	Frequent Traveller	Sales	21	CA	White	3	Economics	Sales Executive	Single	65626	0	No	"Friday, January 27, 2012"	No	10	2	5	1
31	Female	30	Frequent Traveller	Technology	44	CA	Black or African American	1	Computer Science	Software Engineer	Single	68508	0	Yes	"Saturday, January 28, 2012"	Yes	5	4	4	4
32	Female	32	Some Travel	Technology	22	IL	White	2	Other	Data Scientist	Married	75821	1	No	"Monday, January 30, 2012"	No	10	1	5	1
33	Male	44	Some Travel	Sales	40	NY	White	2	Economics	Manager	Divorced	285620	1	No	"Monday, January 30, 2012"	No	10	6	8	4
34	Female	48	Some Travel	Technology	17	CA	Black or African American	3	Information Systems	Software Engineer	Single	65860	0	No	"Wednesday, February 1, 2012"	No	10	6	7	1
35	Male	47	Some Travel	Technology	41	NY	American Indian or Alaska Native	1	Computer Science	Data Scientist	Married	40786	0	No	"Wednesday, February 1, 2012"	No	10	3	5	5
36	Female	31	Some Travel	Technology	20	CA	White	2	Computer Science	Software Engineer	Single	59697	0	Yes	"Thursday, February 2, 2012"	Yes	7	5	6	0
37	Female	32	No Travel 	Technology	12	NY	Black or African American	3	Computer Science	Engineering Manager	Married	316725	1	No	"Thursday, February 2, 2012"	No	10	6	10	2
